Ship_name,Cruise_line,Age,Tonnage,passengers,length,cabins,passenger_density,crew,crewwelfare_concern,crew_jobsatisfaction,cruiseline_performance
Journey,Azamara,6,30.277,6.94,5.94,3.55,42.64,3.55,43,40,69
Quest,Azamara,6,30.277,6.94,5.94,3.55,42.64,3.55,31,6,27
Celebration,Carnival,26,47.262,14.86,7.22,7.43,31.8,6.7,7,29,12
Conquest,Carnival,11,110,29.74,9.53,14.88,36.99,19.1,86,4,70
Destiny,Carnival,17,101.353,26.42,8.92,13.21,38.36,10,19,78,40
Ecstasy,Carnival,22,70.367,20.52,8.55,10.2,34.29,9.2,51,65,97
Elation,Carnival,15,70.367,20.52,8.55,10.2,34.29,9.2,38,55,50
Fantasy,Carnival,23,70.367,20.56,8.55,10.22,34.23,9.2,72,23,49
Fascination,Carnival,19,70.367,20.52,8.55,10.2,34.29,9.2,71,100,8
Freedom,Carnival,6,110.239,37,9.51,14.87,29.79,11.5,27,60,58
Glory,Carnival,10,110,29.74,9.51,14.87,36.99,11.6,39,59,70
Holiday,Carnival,28,46.052,14.52,7.27,7.26,31.72,6.6,10,89,42
Imagination,Carnival,18,70.367,20.52,8.55,10.2,34.29,9.2,57,89,36
Inspiration,Carnival,17,70.367,20.52,8.55,10.2,34.29,9.2,5,99,49
Legend,Carnival,11,86,21.24,9.63,10.62,40.49,9.3,37,82,18
Liberty*,Carnival,8,110,29.74,9.51,14.87,36.99,11.6,100,36,90
Miracle,Carnival,9,88.5,21.24,9.63,10.62,41.67,10.3,26,24,30
Paradise,Carnival,15,70.367,20.52,8.55,10.2,34.29,9.2,100,94,97
Pride,Carnival,12,88.5,21.24,9.63,11.62,41.67,9.3,38,97,11
Sensation,Carnival,20,70.367,20.52,8.55,10.2,34.29,9.2,4,9,40
Spirit,Carnival,12,88.5,21.24,9.63,10.56,41.67,10.29,37,67,63
Triumph,Carnival,14,101.509,27.58,8.93,13.21,36.81,10,75,88,65
Valor,Carnival,9,110,29.74,9.52,14.87,36.99,11.6,99,27,100
Victory,Carnival,13,101.509,27.58,8.93,13.79,36.81,11.5,51,33,100
Century,Celebrity,18,70.606,17.7,8.15,8.75,39.89,8.58,43,16,20
Constellation,Celebrity,11,91,20.32,9.65,9.75,44.78,9.99,60,3,12
Galaxy,Celebrity,17,77.713,18.9,8.66,9.35,41.12,9.09,86,39,6
Infinity,Celebrity,12,91,20.32,9.65,9.75,44.78,9.99,82,17,76
Mercury,Celebrity,16,77.713,18.82,8.66,9.35,41.29,9.09,70,51,47
Millenium,Celebrity,13,91,20.32,9.65,9.75,44.78,9.99,54,7,17
Solstice,Celebrity,5,122,28.5,10.33,6.87,34.57,6.7,26,79,29
Summit,Celebrity,12,91,20.32,9.65,9.75,44.78,9.99,32,19,61
Xpedition,Celebrity,12,2.329,0.94,2.96,0.45,24.78,0.6,10,73,92
