"Hospital";"Inactive"
"A";15
"B";12
"A";14
"B";15
"A";12
"B";14
"A";14
"B";18
"A";13
"B";15
"A";13
"B";12
"A";17
"B";13
"A";17
"B";12
"A";14
"B";14
"A";13
"B";14
"A";14
"B";14
"A";15
"B";13
"A";10
"B";17
"A";12
"B";14
"A";13
"B";15
"A";17
"B";14
"A";13
"B";13
"A";14
"B";15
"A";15
"B";14
"A";17
"B";14
"A";11
"B";18
"A";15
"B";17
"A";12
"B";17
"A";15
"B";15
"A";17
"B";15
"A";12
"B";11
"A";13
"B";19
"A";18
"B";17
"A";14
"B";15
"A";12
"B";17
"A";11
"B";14
"A";15
"B";15
"A";14
"B";15
"A";13
"B";17
"A";12
"B";16
"A";16
"B";17
"A";10
"B";15
"A";15
"B";18
"A";17
"B";16
"A";13
"B";13
"A";18
"B";18
"A";14
"B";17
"A";17
"B";12
"A";16
"B";14
"A";14
"B";18
"A";14
"B";15
"A";13
"B";18
"A";14
"B";16
"A";12
"B";15
"A";12
"B";13
