"","Origin.Code","Destination.Code","Dep.Time","Arr.Time","Flight","Airline.Code","Alliance","Origin.Country","Destination.Country","Day.of.Week","Block.Mins","Seats"
"1","AES","BGO",715,800,4139,"SK","Star Alliance","Norway","Norway","Monday",45,181
"6","AES","BGO",1100,1140,4147,"SK","Star Alliance","Norway","Norway","Monday",40,90
"12","AES","BGO",1525,1610,459,"WF","None","Norway","Norway","Monday",45,78
"18","AES","BGO",1535,1615,4173,"SK","Star Alliance","Norway","Norway","Monday",40,90
"24","AES","BGO",2020,2100,4193,"SK","Star Alliance","Norway","Norway","Monday",40,90
"35","AES","OSL",610,705,1311,"SK","Star Alliance","Norway","Norway","Monday",55,181
"38","AES","OSL",655,750,1313,"SK","Star Alliance","Norway","Norway","Monday",55,141
"43","AES","OSL",700,755,401,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"50","AES","OSL",910,1005,403,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"55","AES","OSL",915,1005,1315,"SK","Star Alliance","Norway","Norway","Monday",50,141
"64","AES","OSL",1425,1520,1321,"SK","Star Alliance","Norway","Norway","Monday",55,90
"72","AES","OSL",1635,1730,413,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"78","AES","OSL",1635,1730,1323,"SK","Star Alliance","Norway","Norway","Monday",55,141
"82","AES","OSL",1830,1925,1327,"SK","Star Alliance","Norway","Norway","Monday",55,181
"89","AES","OSL",1920,2015,417,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"97","AES","TRD",840,925,4144,"SK","Star Alliance","Norway","Norway","Monday",45,90
"102","AES","TRD",1740,1825,4146,"SK","Star Alliance","Norway","Norway","Monday",45,90
"114","ALF","OSL",1150,1350,321,"DY","Low Cost Carriers","Norway","Norway","Monday",120,186
"119","ALF","OSL",1430,1625,4545,"SK","Star Alliance","Norway","Norway","Monday",115,141
"125","ALF","OSL",2000,2200,327,"DY","Low Cost Carriers","Norway","Norway","Monday",120,186
"136","ALF","TOS",735,810,4409,"SK","Star Alliance","Norway","Norway","Monday",35,181
"202","BDU","OSL",640,830,331,"DY","Low Cost Carriers","Norway","Norway","Monday",110,186
"208","BDU","OSL",1120,1310,333,"DY","Low Cost Carriers","Norway","Norway","Monday",110,186
"215","BDU","OSL",1715,1905,337,"DY","Low Cost Carriers","Norway","Norway","Monday",110,186
"221","BGO","AES",735,820,4144,"SK","Star Alliance","Norway","Norway","Monday",45,90
"227","BGO","AES",1415,1500,458,"WF","None","Norway","Norway","Monday",45,78
"233","BGO","AES",1430,1510,4148,"SK","Star Alliance","Norway","Norway","Monday",40,90
"238","BGO","AES",1640,1720,4146,"SK","Star Alliance","Norway","Norway","Monday",40,90
"244","BGO","AES",2145,2225,4194,"SK","Star Alliance","Norway","Norway","Monday",40,141
"249","BGO","BOO",740,930,612,"WF","None","Norway","Norway","Monday",110,78
"298","BGO","KRS",740,830,583,"WF","None","Norway","Norway","Monday",50,78
"303","BGO","KRS",1215,1305,587,"WF","None","Norway","Norway","Monday",50,78
"309","BGO","KRS",1450,1540,589,"WF","None","Norway","Norway","Monday",50,78
"315","BGO","KRS",1635,1725,591,"WF","None","Norway","Norway","Monday",50,78
"322","BGO","KRS",1750,1840,593,"WF","None","Norway","Norway","Monday",50,78
"328","BGO","KRS",2225,2315,599,"WF","None","Norway","Norway","Monday",50,78
"339","BGO","KSU",1050,1145,568,"WF","None","Norway","Norway","Monday",55,78
"345","BGO","KSU",1505,1600,570,"WF","None","Norway","Norway","Monday",55,78
"351","BGO","KSU",2025,2120,576,"WF","None","Norway","Norway","Monday",55,78
"375","BGO","OSL",610,700,236,"SK","Star Alliance","Norway","Norway","Monday",50,181
"380","BGO","OSL",640,735,601,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"385","BGO","OSL",700,750,238,"SK","Star Alliance","Norway","Norway","Monday",50,181
"392","BGO","OSL",725,815,244,"SK","Star Alliance","Norway","Norway","Monday",50,181
"397","BGO","OSL",730,825,605,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"402","BGO","OSL",800,855,246,"SK","Star Alliance","Norway","Norway","Monday",55,181
"406","BGO","OSL",800,855,607,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"411","BGO","OSL",825,915,248,"SK","Star Alliance","Norway","Norway","Monday",50,141
"417","BGO","OSL",830,925,609,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"424","BGO","OSL",920,1010,252,"SK","Star Alliance","Norway","Norway","Monday",50,141
"429","BGO","OSL",920,1015,611,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"434","BGO","OSL",1025,1115,260,"SK","Star Alliance","Norway","Norway","Monday",50,141
