Date;Countries;Prod_line;AccLevel;EmplGen;EmplAffil
1/1/2016 0:00:00;Country_01;Alumin;I;Male;Third Party
1/2/2016 0:00:00;Country_02;Alumin;I;Male;Employee
1/6/2016 0:00:00;Country_01;Alumin;I;Male;Third Party (Remote)
1/8/2016 0:00:00;Country_01;Alumin;I;Male;Third Party
1/10/2016 0:00:00;Country_01;Alumin;IV;Male;Third Party
1/12/2016 0:00:00;Country_02;Bronze;V;Male;Third Party (Remote)
1/16/2016 0:00:00;Country_02;Bronze;I;Male;Employee
1/17/2016 0:00:00;Country_01;Alumin;I;Male;Third Party
1/19/2016 0:00:00;Country_02;Alumin;I;Male;Third Party (Remote)
1/26/2016 0:00:00;Country_01;Bronze;I;Male;Third Party
1/28/2016 0:00:00;Country_01;Alumin;I;Male;Employee
1/30/2016 0:00:00;Country_01;Alumin;I;Male;Third Party
2/1/2016 0:00:00;Country_02;Bronze;V;Male;Employee
2/2/2016 0:00:00;Country_01;Alumin;IV;Male;Third Party
2/4/2016 0:00:00;Country_02;Bronze;V;Male;Employee
2/4/2016 0:00:00;Country_02;Bronze;V;Male;Employee
2/6/2016 0:00:00;Country_01;Alumin;III;Male;Third Party
2/7/2016 0:00:00;Country_01;Bronze;V;Female;Third Party
2/8/2016 0:00:00;Country_01;Bronze;V;Male;Employee
2/21/2016 0:00:00;Country_01;Bronze;I;Male;Employee
2/25/2016 0:00:00;Country_01;Bronze;I;Male;Third Party
2/9/2016 0:00:00;Country_01;Alumin;I;Male;Third Party
2/10/2016 0:00:00;Country_01;Alumin;II;Male;Third Party
2/15/2016 0:00:00;Country_02;Alumin;II;Male;Third Party (Remote)
2/14/2016 0:00:00;Country_01;Bronze;I;Male;Third Party
2/15/2016 0:00:00;Country_01;Bronze;I;Male;Employee
2/13/2016 0:00:00;Country_01;Alumin;I;Male;Employee
2/15/2016 0:00:00;Country_01;Alumin;I;Male;Third Party
2/16/2016 0:00:00;Country_01;Alumin;I;Male;Employee
2/16/2016 0:00:00;Country_02;Alumin;II;Male;Employee
2/17/2016 0:00:00;Country_01;Alumin;I;Male;Employee
2/19/2016 0:00:00;Country_01;Alumin;I;Male;Employee
2/21/2016 0:00:00;Country_01;Alumin;III;Male;Third Party
2/20/2016 0:00:00;Country_01;Alumin;V;Male;Third Party
2/15/2016 0:00:00;Country_02;Bronze;V;Male;Employee
2/18/2016 0:00:00;Country_02;Bronze;V;Male;Third Party (Remote)
2/22/2016 0:00:00;Country_01;Alumin;I;Male;Third Party
2/24/2016 0:00:00;Country_02;Alumin;I;Male;Employee
2/24/2016 0:00:00;Country_02;Alumin;I;Female;Third Party
2/24/2016 0:00:00;Country_01;Alumin;I;Male;Employee
2/29/2016 0:00:00;Country_02;Alumin;II;Male;Employee
2/26/2016 0:00:00;Country_01;Bronze;I;Male;Third Party (Remote)
2/26/2016 0:00:00;Country_01;Bronze;I;Male;Third Party (Remote)
