Duration;Distance
12,5;2,74
33,5;13,6
33,1;10,99
37;10,31
18,3;4,93
29,3;8,15
24;10,18
16,8;5,96
22,1;10,57
27,8;10,38
32,4;13,54
41,7;14,83
19,3;10,96
28,6;8,73
22,5;8,64
22,8;9,3
28,5;8,33
34;14,09
24,5;12,3
33,5;12,87
30,3;11,02
15,9;6,95
34;13,9
32,2;14,2
37;15,93
21;8,55
27,2;12,53
18,7;8,01
22,4;9,43
11,4;4,88
14,9;6,46
24,6;10,69
13;5,88
19,1;9
18;7,76
33,9;16,19
29,4;13,26
32,8;14,7
25,5;10,78
16,7;7,56
17,4;7,79
18,2;8,56
13,7;6,24
26,5;10,88
31,6;14,21
23,7;10,47
18,5;8,19
27,8;12,72
30,2;13,42
37,6;16,19
19,2;8,62
19,6;8,86
22;9,47
18,3;7,34
37,2;16,21
30;12,45
15,6;6,39
21,6;9,14
28,7;12,79
21,1;8,87
33,5;14,62
10,1;5,61
18,4;8,24
23,5;10,18
24,6;11
37,8;15,55
33,2;14,49
28;12,07
28,2;11,55
22,6;9,83
18;8,57
28,4;11,9
28,6;11,71
22,7;9,39
29,6;12,7
20,4;8,38
28,2;12,27
20,9;8,76
32,5;13,27
20,9;9,49
23,7;9,72
15;7,17
14,6;5,44
23,4;10,5
21;8,45
26,2;10,34
20,5;9,56
23,3;9,68
12,1;5,38
21,9;9,9
20,4;9,21
33,2;13,86
30,1;12,79
30,2;13,07
26,8;10,85
26,8;11,46
17;7,75
16;7,25
21,4;9,96
30,1;13,32
28,8;12,48
21,4;9,23
20,1;8,9
31;13,13
26,6;11,99
35,5;15,53
34,9;15,24
21,1;9,22
17,5;7,42
31,5;14,08
24,7;10,78
36,4;15,61
16,5;6,98
20,5;9,57
19,4;9,18
25,5;10,4
18,9;8,06
23,3;9,61
31,1;13,32
23,1;9,38
23,6;10,38
27,1;11,33
22,9;10,8
30,7;13,68
19,8;8,82
29,2;12,74
10,7;3,86
25,3;10,97
22,4;9,92
21,7;9,33
34,8;14,79
22,3;9,8
33,5;14,47
27;10,99
16,1;7,41
22,8;9,14
13,6;5,57
37,1;15,46
28,3;12,13
22,1;9,98
26,2;11,66
30,7;14,55
28,8;12,39
29,9;12,53
11,6;5,92
25,6;11,17
36,5;16,13
23,4;10,36
30,7;12,98
23,6;10,21
24,5;10,89
28,5;12,98
19,5;8,77
31,3;13,84
29,1;12,67
23;9,79
21;8,49
31;13,03
15,5;7,33
25,9;10,33
12,3;5,43
34,4;15,91
24,9;10,71
32,2;13,69
21,6;9,34
21,9;10,02
12,5;5,84
29,3;12,93
23,7;9,74
21,5;8,67
28,6;11,81
19,5;8,63
19,9;9,12
21,4;9,74
22,1;9,92
32,9;15,11
19,5;9,34
24;10,48
27,1;12,28
33;14,75
14,7;6,42
27,4;12,72
29,6;12,97
23,6;10,29
16,1;7,79
13,1;4,74
24,7;11,33
35;15
9,4;4,45
17,6;7,29
24,4;10,57
17,3;8,4
25,8;10,97
16;6
10,5;4,56
25,9;10,68
11,9;5,65
28,1;12,1
12;5,24
19,1;8,77
 ; 
