"obs","wage","female","nonwhite","union","education","exper","age","wind","femalenonw"
1,11.5500001907349,1,0,0,12,20,38,1,0
2,5,0,0,0,9,9,24,0,0
3,12,0,0,0,16,15,37,1,0
4,7,0,1,1,14,38,58,0,0
5,21.1499996185303,1,1,0,16,19,41,1,1
6,6.92000007629395,1,0,0,12,4,22,1,0
7,10,1,0,0,12,14,32,0,0
8,8,1,1,0,12,32,50,0,1
9,15.6300001144409,0,0,0,18,7,31,1,0
10,18.2199993133545,1,0,0,18,5,29,1,0
11,20,0,0,0,20,31,57,1,0
12,4.34999990463257,1,0,0,12,7,25,0,0
13,5,0,0,0,5,31,42,0,0
14,8.25,0,1,0,12,14,32,0,0
15,15,0,0,1,12,15,33,0,0
16,19,1,1,1,14,26,46,0,1
17,18,0,1,1,14,23,43,0,0
18,7.07000017166138,0,0,1,16,4,26,0,0
19,8,0,0,0,14,16,36,0,0
20,25,0,0,0,14,27,47,1,0
21,17.2999992370605,1,0,0,12,44,62,1,0
22,16,1,0,0,12,38,56,0,0
23,5,1,0,0,12,19,37,0,0
24,8.25,0,0,0,12,13,31,0,0
25,8,1,0,1,12,14,32,0,0
26,13.6899995803833,1,1,0,12,20,38,0,1
27,19.8999996185303,0,0,0,12,26,44,1,0
28,22,1,1,1,12,17,35,0,1
29,6.5,1,0,0,12,1,19,0,0
30,12,1,1,0,12,19,37,0,1
31,13.3900003433228,0,0,0,12,34,52,0,0
32,36.8499984741211,0,0,0,20,21,47,1,0
33,27.4699993133545,0,0,0,16,25,47,0,0
34,6,0,1,0,12,2,20,0,0
35,21.5400009155273,1,0,1,18,19,43,1,0
36,12.4300003051758,0,0,0,12,7,25,1,0
37,19.7000007629395,0,0,0,12,33,51,1,0
38,7.5,1,0,0,12,11,29,1,0
39,25.9500007629395,0,0,0,18,12,36,1,0
40,25.9500007629395,1,0,0,16,13,35,1,0
41,11.5299997329712,1,0,0,18,29,53,1,0
42,5.5,1,0,0,12,2,20,0,0
43,9.61999988555908,0,0,0,12,10,28,1,0
44,5.25,1,1,0,12,3,21,0,1
45,11.5,0,0,0,12,9,27,0,0
46,17,0,0,0,16,30,52,0,0
47,11,0,0,1,12,30,48,0,0
48,13,1,0,0,12,29,47,0,0
49,7.32000017166138,0,0,0,12,2,20,0,0
50,5.5,0,0,0,12,6,24,0,0
51,11.5200004577637,0,0,0,12,33,51,1,0
52,15,0,0,0,12,37,55,1,0
53,13.5,0,0,1,12,16,34,0,0
54,6.75,1,0,0,11,12,29,0,0
55,12.5,0,0,0,12,12,30,1,0
56,7.09999990463257,0,0,0,9,28,43,0,0
57,6,0,1,0,11,35,52,0,0
58,14.4300003051758,0,0,0,16,9,31,1,0
59,13.7799997329712,1,0,0,16,2,24,1,0
60,5,1,1,0,12,7,25,0,1
61,4.48999977111816,1,1,1,10,31,47,0,1
62,10,0,0,0,5,42,53,0,0
63,5,1,0,0,12,37,55,0,0
64,17.6800003051758,1,0,1,16,33,55,1,0
65,4.38000011444092,1,1,0,12,23,41,1,1
66,6.88000011444092,1,0,0,12,12,30,1,0
67,12.5,1,0,0,12,25,43,0,0
68,13.8999996185303,1,0,0,16,8,30,1,0
69,7,0,0,0,12,41,59,0,0
70,12,0,0,1,11,32,49,0,0
71,9,0,0,0,12,15,33,0,0
72,6.5,0,0,0,11,6,23,0,0
73,16,0,0,1,12,42,60,0,0
