"age","numbids","price","shine","age_shine"
"127","13","1235","0","0"
"115","12","1080","0","0"
"127","7","845","0","0"
"150","9","1522","1","150"
"156","6","1047","0","0"
"182","11","1979","1","182"
"156","12","1822","1","156"
"132","10","1253","1","132"
"137","9","1297","0","0"
"113","9","946","0","0"
"137","15","1713","1","137"
"117","11","1025","1","117"
"137","8","1147","0","0"
"153","6","1092","0","0"
"117","13","1152","0","0"
"126","10","1336","0","0"
"170","14","2131","1","170"
"182","8","1550","1","182"
"162","11","1884","2","324"
"184","10","2041","1","184"
"143","6","845","0","0"
"159","9","1483","0","0"
"108","14","1055","0","0"
"175","8","1545","1","175"
"108","6","729","0","0"
"179","9","1792","1","179"
"111","15","1175","0","0"
"187","8","1593","1","187"
"111","7","785","0","0"
"115","7","744","0","0"
"194","5","1356","0","0"
"168","7","1262","0","0"
