year,id18,municip_name,population,totalarea,income_med_adj,pct_expense,sent_index,gasoline,diesel,el,hybrid,plugin,total,pct_elcar,zone
2012,municip0101,Halden,29543,642,589,0.8675876010781671,843,9343,5189,11,103,0,14646,0.07510583094360235,above60
2012,municip0104,Moss,30723,64,588,4.5824479813975865,932,8486,4715,24,112,0,13337,0.17995051360875758,30to60
2012,municip0105,Sarpsborg,53333,406,588,1.2740198493700288,887,16706,9323,19,140,2,26190,0.07254677357770141,above60
2012,municip0106,Fredrikstad,75583,288,614,1.5514972030273115,884,22681,12149,36,323,7,35196,0.10228435049437436,above60
2012,municip0111,Hvaler,4206,90,709,4.180985108820161,725,1228,808,2,31,0,2069,0.09666505558240696,above60
2012,municip0118,Aremark,1423,319,668,0,660,427,328,0,4,0,759,0,above60
2012,municip0119,Marker,3518,413,593,3.355470115344285,742,1202,781,0,6,0,1989,0,above60
2012,municip0121,Rømskog,688,183,648,0,667,240,168,0,2,0,410,0,above60
2012,municip0122,Trøgstad,5219,204,626,4.929745177423196,799,1676,1108,1,15,0,2800,0.03571428571428571,above60
2012,municip0123,Spydeberg,5348,142,680,4.561569368943513,865,1654,1163,5,20,0,2842,0.17593244194229415,30to60
2012,municip0124,Askim,15096,69,618,7.712189428047357,893,4639,2696,14,60,0,7409,0.18895937373464705,30to60
2012,municip0125,Eidsberg,11049,236,578,5.387395527445222,853,3854,2189,3,28,1,6075,0.04938271604938271,above60
2012,municip0127,Skiptvet,3631,101,660,3.1560283687943262,789,1129,715,2,3,0,1849,0.10816657652785289,above60
2012,municip0128,Rakkestad,7698,435,627,1.3426075703655775,794,2419,1627,3,19,0,4068,0.07374631268436578,above60
2012,municip0135,Råde,6987,119,713,2.746077032810271,838,2150,1497,2,24,0,3673,0.054451402123604685,30to60
2012,municip0136,Rygge,14691,74,697,4.383702939659618,890,4699,2881,11,57,1,7649,0.14380964832004184,30to60
2012,municip0137,Våler,4705,257,747,2.9951430113329733,822,1460,1071,3,21,0,2555,0.11741682974559686,30to60
2012,municip0138,Hobøl,4911,140,704,5.205688166582021,845,1543,1037,10,16,1,2607,0.3835826620636747,30to60
2012,municip0211,Vestby,15143,134,787,5.115722948159536,880,4374,2946,33,65,1,7419,0.4448038819247877,30to60
2012,municip0213,Ski,28970,166,817,4.7918058338900025,914,8674,5534,69,161,2,14440,0.4778393351800554,below30
2012,municip0214,Ås,17284,103,715,3.9510132672401226,899,4057,2563,70,54,1,6745,1.0378057820607858,30to60
2012,municip0215,Frogn,15154,86,799,4.740048401902696,906,4261,2819,118,65,0,7263,1.6246730001376841,30to60
2012,municip0216,Nesodden,17809,61,785,2.772938443670151,855,4452,2574,24,46,0,7096,0.3382187147688839,30to60
2012,municip0217,Oppegård,25520,37,870,4.194149337898394,929,7274,10320,118,166,0,17878,0.6600290860275199,below30
2012,municip0219,Bærum,114489,192,848,2.546599863254761,971,37297,38915,633,888,12,77745,0.8142002701138337,below30
2012,municip0220,Asker,56447,101,872,3.0058250659870756,936,16237,10483,992,296,0,28008,3.541845187089403,below30
2012,municip0221,Aurskog-Høland,14905,962,645,2.315508912210561,799,4800,3475,16,34,0,8325,0.1921921921921922,30to60
2012,municip0226,Sørum,16091,207,813,5.014964005500283,869,4971,3334,9,54,4,8372,0.10750119445771619,30to60
2012,municip0227,Fet,10626,176,814,4.181600955794504,880,3129,2115,18,34,1,5297,0.3398149896167642,below30
2012,municip0228,Rælingen,16170,72,767,5.001953888237593,942,4778,2792,20,63,0,7653,0.2613354240167255,below30
