"price","area","rooms","standard","situated","town","distcen","age","rent"
1031,100,3,2,6,1,5,15,2051
1129,116,3,1,5,1,4,42,2834
1123,110,3,2,5,1,3,25,2468
607,59,2,3,5,1,6,25,1940
858,72,2,3,4,1,1,17,1611
679,64,2,2,3,1,3,17,2039
1300,129,4,1,5,1,3,32,2708
1004,103,3,2,5,1,3,17,2981
673,59,2,2,5,1,1,27,2372
1187,115,3,1,6,1,5,15,2126
1034,100,3,3,4,1,3,27,2267
1321,121,4,2,4,1,3,25,1476
981,92,2,3,7,1,3,22,2420
796,77,2,2,2,1,2,10,2289
655,44,1,1,6,1,1,12,1086
1625,150,5,2,7,1,2,15,2129
895,78,2,1,5,1,4,32,1297
880,76,2,2,4,1,0,22,1996
1038,88,3,3,5,1,2,32,1324
736,73,2,3,7,1,4,20,2654
1253,125,4,1,5,1,4,20,2307
1051,102,3,3,4,1,3,22,2276
948,88,3,2,4,1,1,30,2346
1184,116,3,3,5,1,5,27,2003
872,88,3,2,2,1,7,27,1422
1177,121,4,2,4,1,6,35,2269
1322,123,4,3,4,1,3,37,1683
796,76,2,2,3,1,5,32,1551
1241,131,5,2,7,1,7,30,3001
624,57,2,2,7,1,7,35,1647
979,87,2,2,4,1,1,27,1761
1154,113,3,3,4,1,3,17,2215
1052,96,3,1,9,1,5,40,1999
1075,106,3,3,5,1,4,25,2342
1051,106,3,1,4,1,2,12,2903
781,72,2,1,4,1,2,22,1995
664,65,2,1,3,1,3,32,2193
847,76,2,1,6,1,3,27,2014
1026,95,3,3,2,1,3,17,1560
1259,127,4,1,5,1,3,12,2720
1425,137,5,0,4,1,2,20,2203
618,69,2,1,4,2,5,22,1710
423,58,2,2,4,2,6,27,2377
766,83,3,3,3,2,3,15,1924
970,102,4,3,3,2,3,25,1747
576,54,2,2,4,2,2,32,1506
675,64,2,1,5,2,2,37,1517
969,104,3,1,5,2,4,22,2107
1302,125,4,3,4,2,1,35,1254
1055,102,3,2,5,2,1,32,1691
1204,119,3,3,7,2,1,17,2327
1001,110,3,3,5,2,5,20,2190
653,66,2,1,3,2,2,17,1561
701,81,2,4,5,2,4,22,2439
874,100,3,2,6,2,5,20,2516
999,114,4,3,3,2,4,40,2556
607,83,3,2,3,2,4,22,3286
922,83,2,1,6,2,1,32,1421
