"Origin.Code","Destination.Code","Dep.Time","Arr.Time","Flight","Airline.Code","Alliance","Origin.Country","Destination.Country","Day.of.Week","Block.Mins","Seats"
"AES","BGO",715,800,4139,"SK","Star Alliance","Norway","Norway","Monday",45,181
"AES","BGO",715,800,4139,"SK","Star Alliance","Norway","Norway","Tuesday",45,141
"AES","BGO",715,800,4139,"SK","Star Alliance","Norway","Norway","Wednesday",45,141
"AES","BGO",715,800,4139,"SK","Star Alliance","Norway","Norway","Thursday",45,141
"AES","BGO",715,800,4139,"SK","Star Alliance","Norway","Norway","Friday",45,141
"AES","BGO",1100,1140,4147,"SK","Star Alliance","Norway","Norway","Monday",40,90
"AES","BGO",1100,1140,4147,"SK","Star Alliance","Norway","Norway","Tuesday",40,90
"AES","BGO",1115,1155,4147,"SK","Star Alliance","Norway","Norway","Wednesday",40,90
"AES","BGO",1115,1155,4147,"SK","Star Alliance","Norway","Norway","Thursday",40,90
"AES","BGO",1115,1155,4147,"SK","Star Alliance","Norway","Norway","Friday",40,90
"AES","BGO",1115,1200,457,"WF","None","Norway","Norway","Saturday",45,78
"AES","BGO",1525,1610,459,"WF","None","Norway","Norway","Monday",45,78
"AES","BGO",1525,1610,459,"WF","None","Norway","Norway","Tuesday",45,78
"AES","BGO",1525,1610,459,"WF","None","Norway","Norway","Wednesday",45,78
"AES","BGO",1525,1610,459,"WF","None","Norway","Norway","Thursday",45,78
"AES","BGO",1525,1610,459,"WF","None","Norway","Norway","Friday",45,78
"AES","BGO",1525,1610,459,"WF","None","Norway","Norway","Sunday",45,78
"AES","BGO",1535,1615,4173,"SK","Star Alliance","Norway","Norway","Monday",40,90
"AES","BGO",1535,1615,4173,"SK","Star Alliance","Norway","Norway","Tuesday",40,90
"AES","BGO",1535,1615,4173,"SK","Star Alliance","Norway","Norway","Wednesday",40,90
"AES","BGO",1535,1615,4173,"SK","Star Alliance","Norway","Norway","Thursday",40,90
"AES","BGO",1535,1615,4173,"SK","Star Alliance","Norway","Norway","Friday",40,90
"AES","BGO",1635,1715,4173,"SK","Star Alliance","Norway","Norway","Sunday",40,90
"AES","BGO",2020,2100,4193,"SK","Star Alliance","Norway","Norway","Monday",40,90
"AES","BGO",2020,2100,4193,"SK","Star Alliance","Norway","Norway","Tuesday",40,90
"AES","BGO",2020,2100,4193,"SK","Star Alliance","Norway","Norway","Wednesday",40,90
"AES","BGO",2020,2100,4193,"SK","Star Alliance","Norway","Norway","Thursday",40,90
"AES","BGO",2115,2200,4193,"SK","Star Alliance","Norway","Norway","Sunday",45,78
"AES","KSU",1555,1620,555,"WF","None","Norway","Norway","Monday",25,39
"AES","KSU",1555,1620,555,"WF","None","Norway","Norway","Tuesday",25,39
"AES","KSU",1555,1620,555,"WF","None","Norway","Norway","Wednesday",25,39
"AES","KSU",1555,1620,555,"WF","None","Norway","Norway","Thursday",25,39
"AES","KSU",1555,1620,555,"WF","None","Norway","Norway","Friday",25,39
"AES","KSU",1555,1620,555,"WF","None","Norway","Norway","Sunday",25,39
"AES","OSL",610,705,1311,"SK","Star Alliance","Norway","Norway","Monday",55,181
"AES","OSL",610,705,1311,"SK","Star Alliance","Norway","Norway","Thursday",55,141
"AES","OSL",610,705,1311,"SK","Star Alliance","Norway","Norway","Friday",55,181
"AES","OSL",655,750,1313,"SK","Star Alliance","Norway","Norway","Monday",55,141
"AES","OSL",655,750,1313,"SK","Star Alliance","Norway","Norway","Tuesday",55,181
"AES","OSL",655,750,1313,"SK","Star Alliance","Norway","Norway","Wednesday",55,181
"AES","OSL",655,750,1313,"SK","Star Alliance","Norway","Norway","Thursday",55,181
"AES","OSL",655,750,1313,"SK","Star Alliance","Norway","Norway","Friday",55,141
"AES","OSL",700,755,401,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"AES","OSL",700,755,401,"DY","Low Cost Carriers","Norway","Norway","Tuesday",55,186
"AES","OSL",700,755,401,"DY","Low Cost Carriers","Norway","Norway","Wednesday",55,186
"AES","OSL",700,755,401,"DY","Low Cost Carriers","Norway","Norway","Thursday",55,186
"AES","OSL",700,755,401,"DY","Low Cost Carriers","Norway","Norway","Friday",55,186
"AES","OSL",700,755,401,"DY","Low Cost Carriers","Norway","Norway","Saturday",55,186
"AES","OSL",730,825,1313,"SK","Star Alliance","Norway","Norway","Saturday",55,90
"AES","OSL",910,1005,403,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"AES","OSL",910,1005,403,"DY","Low Cost Carriers","Norway","Norway","Tuesday",55,186
"AES","OSL",910,1005,403,"DY","Low Cost Carriers","Norway","Norway","Wednesday",55,186
"AES","OSL",910,1005,403,"DY","Low Cost Carriers","Norway","Norway","Thursday",55,186
"AES","OSL",910,1005,403,"DY","Low Cost Carriers","Norway","Norway","Friday",55,186
"AES","OSL",915,1005,1315,"SK","Star Alliance","Norway","Norway","Monday",50,141
"AES","OSL",915,1005,1315,"SK","Star Alliance","Norway","Norway","Tuesday",50,141
"AES","OSL",915,1005,1315,"SK","Star Alliance","Norway","Norway","Wednesday",50,141
"AES","OSL",915,1005,1315,"SK","Star Alliance","Norway","Norway","Thursday",50,181
"AES","OSL",915,1005,1315,"SK","Star Alliance","Norway","Norway","Friday",50,141
"AES","OSL",920,1015,1317,"SK","Star Alliance","Norway","Norway","Sunday",55,181
"AES","OSL",1305,1400,405,"DY","Low Cost Carriers","Norway","Norway","Sunday",55,186
"AES","OSL",1315,1410,1317,"SK","Star Alliance","Norway","Norway","Saturday",55,90
"AES","OSL",1315,1410,1321,"SK","Star Alliance","Norway","Norway","Sunday",55,90
"AES","OSL",1425,1520,1321,"SK","Star Alliance","Norway","Norway","Monday",55,90
"AES","OSL",1425,1520,1321,"SK","Star Alliance","Norway","Norway","Friday",55,181
"AES","OSL",1440,1535,1321,"SK","Star Alliance","Norway","Norway","Tuesday",55,90
"AES","OSL",1440,1535,1321,"SK","Star Alliance","Norway","Norway","Wednesday",55,90
"AES","OSL",1440,1535,1321,"SK","Star Alliance","Norway","Norway","Thursday",55,90
"AES","OSL",1540,1635,409,"DY","Low Cost Carriers","Norway","Norway","Saturday",55,186
"AES","OSL",1615,1710,1323,"SK","Star Alliance","Norway","Norway","Thursday",55,181
"AES","OSL",1615,1710,1323,"SK","Star Alliance","Norway","Norway","Friday",55,141
"AES","OSL",1635,1730,413,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"AES","OSL",1635,1730,413,"DY","Low Cost Carriers","Norway","Norway","Tuesday",55,186
"AES","OSL",1635,1730,413,"DY","Low Cost Carriers","Norway","Norway","Wednesday",55,186
"AES","OSL",1635,1730,413,"DY","Low Cost Carriers","Norway","Norway","Thursday",55,186
"AES","OSL",1635,1730,413,"DY","Low Cost Carriers","Norway","Norway","Friday",55,186
"AES","OSL",1635,1730,413,"DY","Low Cost Carriers","Norway","Norway","Sunday",55,186
"AES","OSL",1635,1730,1323,"SK","Star Alliance","Norway","Norway","Monday",55,141
"AES","OSL",1635,1730,1323,"SK","Star Alliance","Norway","Norway","Tuesday",55,141
"AES","OSL",1635,1730,1323,"SK","Star Alliance","Norway","Norway","Wednesday",55,120
"AES","OSL",1635,1730,1323,"SK","Star Alliance","Norway","Norway","Sunday",55,141
"AES","OSL",1830,1925,1327,"SK","Star Alliance","Norway","Norway","Monday",55,181
"AES","OSL",1830,1925,1327,"SK","Star Alliance","Norway","Norway","Tuesday",55,181
"AES","OSL",1830,1925,1327,"SK","Star Alliance","Norway","Norway","Wednesday",55,181
"AES","OSL",1830,1925,1327,"SK","Star Alliance","Norway","Norway","Thursday",55,141
"AES","OSL",1830,1925,1327,"SK","Star Alliance","Norway","Norway","Friday",55,181
"AES","OSL",1835,1930,1327,"SK","Star Alliance","Norway","Norway","Sunday",55,181
"AES","OSL",1855,1950,1327,"SK","Star Alliance","Norway","Norway","Saturday",55,181
"AES","OSL",1920,2015,417,"DY","Low Cost Carriers","Norway","Norway","Monday",55,186
"AES","OSL",1920,2015,417,"DY","Low Cost Carriers","Norway","Norway","Tuesday",55,186
"AES","OSL",1920,2015,417,"DY","Low Cost Carriers","Norway","Norway","Wednesday",55,186
"AES","OSL",1920,2015,417,"DY","Low Cost Carriers","Norway","Norway","Thursday",55,186
"AES","OSL",1920,2015,417,"DY","Low Cost Carriers","Norway","Norway","Friday",55,186
"AES","OSL",1920,2015,417,"DY","Low Cost Carriers","Norway","Norway","Sunday",55,186
"AES","OSL",2025,2120,1331,"SK","Star Alliance","Norway","Norway","Sunday",55,120
"AES","OSL",2050,2145,1331,"SK","Star Alliance","Norway","Norway","Friday",55,141
"AES","TRD",840,925,4144,"SK","Star Alliance","Norway","Norway","Monday",45,90
"AES","TRD",840,925,4144,"SK","Star Alliance","Norway","Norway","Tuesday",45,90
"AES","TRD",840,925,4144,"SK","Star Alliance","Norway","Norway","Wednesday",45,90
"AES","TRD",840,925,4144,"SK","Star Alliance","Norway","Norway","Thursday",45,90
"AES","TRD",840,925,4144,"SK","Star Alliance","Norway","Norway","Friday",45,90
"AES","TRD",1740,1825,4146,"SK","Star Alliance","Norway","Norway","Monday",45,90
"AES","TRD",1740,1825,4146,"SK","Star Alliance","Norway","Norway","Tuesday",45,90
"AES","TRD",1740,1825,4146,"SK","Star Alliance","Norway","Norway","Wednesday",45,90
"AES","TRD",1740,1825,4146,"SK","Star Alliance","Norway","Norway","Thursday",45,90
"AES","TRD",1740,1825,4146,"SK","Star Alliance","Norway","Norway","Friday",45,90
"AES","TRD",1845,1930,4146,"SK","Star Alliance","Norway","Norway","Sunday",45,78
"ALF","KKN",700,750,972,"WF","None","Norway","Norway","Monday",50,39
"ALF","KKN",700,750,972,"WF","None","Norway","Norway","Tuesday",50,39
"ALF","KKN",700,750,972,"WF","None","Norway","Norway","Wednesday",50,39
"ALF","KKN",700,750,972,"WF","None","Norway","Norway","Thursday",50,39
"ALF","KKN",700,750,972,"WF","None","Norway","Norway","Friday",50,39
"ALF","OSL",1030,1230,321,"DY","Low Cost Carriers","Norway","Norway","Sunday",120,186
"ALF","OSL",1150,1350,321,"DY","Low Cost Carriers","Norway","Norway","Monday",120,186
