saleA,saleB,priceA,priceB
845,115,110,139
833,121,124,139
845,162,116,149
951,119,105,149
878,117,108,119
1006,170,108,119
1045,154,108,125
809,130,124,145
1057,157,124,145
749,114,124,145
609,114,124,139
642,142,126,139
783,122,120,129
1185,112,99,135
1328,116,99,138
740,141,124,143
726,179,124,129
792,108,124,143
572,106,135,134
525,129,135,136
1294,148,99,139
741,147,124,138
803,128,124,135
1086,103,115,145
830,117,115,141
922,121,115,139
897,135,117,140
720,113,130,159
940,114,111,159
778,100,126,159
899,122,116,139
893,108,115,139
825,172,124,139
812,141,124,129
793,149,121,137
895,157,110,123
1614,112,89,147
844,149,122,145
897,145,125,149
805,100,123,143
926,131,118,149
1139,145,99,136
637,150,130,137
1000,125,122,149
850,150,123,145
1061,133,109,133
1036,126,99,143
680,125,121,131
648,124,135,140
971,90,115,141
