country,population,density,urban,religion,lifeexpf,lifeexpm,literacy,pop_incr,babymort,gdp_cap,region,calories,aids,birth_rt,death_rt,aids_rt,log_gdp,lg_aidsr,b_to_d,fertilty,log_pop,cropgrow,lit_male,lit_fema,climate,lit_ratio,main_religion,inv_gdp
Austria,8000,94,58,Catholic,79,73,99,.2,6.7,18396,OECD,3495,1150,12,11,14.375,4.264723400902,1.70420396214173,1.090909090909091,1.5,3.903089986991944,17,,,temperate,,Catholic,.0000543596434007
Belgium,10100,329,96,Catholic,79,73,99,.2,7.2,17912,OECD,,1603,12,11,15.87128712871287,4.253144080570974,1.738290792263717,1.090909090909091,1.7,4.004321373782642,24,,,temperate,,Catholic,.0000558284948638
Canada,29100,2.8,77,Catholic,81,74,97,.7,6.8,19904,OECD,3482,9511,14,8,32.68384879725086,4.298940363010725,2.008475962907875,1.75,1.8,4.463892988985907,5,,,arctic / temp,,Catholic,.0000502411575563
France,58000,105,73,Catholic,82,74,99,.47,6.7,18944,OECD,3465,30003,13,9.300000000000001,51.72931034482759,4.277471685042825,2.201645224991837,1.397849462365591,1.8,4.763427993562937,32,,,temperate,,Catholic,.0000527871621622
Ireland,3600,51,57,Catholic,78,73,98,.3,7.4,12170,OECD,3778,392,14,9,10.88888888888889,4.085290578230065,1.612117577413855,1.555555555555556,1.99,3.556302500767287,14,,,temperate,,Catholic,.0000821692686935
Italy,58100,188,69,Catholic,81,74,97,.21,7.6,17500,OECD,3504,21770,11,10,38.05944055944056,4.243038048686294,2.070582218218844,1.1,1.3,4.764176132390331,32,98,96,mediterranean,1.020833333333333,Catholic,.0000571428571429
Netherlands,15400,366,89,Catholic,81,75,99,.58,6.3,17245,OECD,3151,3055,13,9,19.83766233766234,4.236663198703409,1.817599099004485,1.444444444444444,1.58,4.187520720836463,26,,,temperate,,Catholic,.0000579878225573
Portugal,10500,108,34,Catholic,78,71,85,.36,9.199999999999999,9000,OECD,,1811,12,10,18.29292929292929,3.954242509439325,1.788367015362323,1.2,1.5,4.021189299069938,32,89,82,maritime,1.085365853658537,Catholic,.0001111111111111
Spain,39200,77,78,Catholic,81,74,95,.25,6.9,13047,OECD,3572,24202,11,9,61.73979591836735,4.115510662384998,2.280935675364076,1.222222222222222,1.4,4.593286067020458,31,97,93,temperate,1.043010752688172,Catholic,.0000766459722542
Switzerland,7000,170,62,Catholic,82,75,99,.7,6.2,22384,OECD,3562,3662,12,9,52.31428571428572,4.349937697147753,2.20660226682579,1.333333333333333,1.6,3.845098040014257,10,,,temperate,,Catholic,.0000446747676912
Greece,10400,80,63,Orthodox,80,75,93,.84,8.199999999999999,8060,OECD,3825,916,10,10,8.807692307692308,3.906335041805091,1.545156335268405,1,1.5,4.017033339298781,23,98,89,temperate,1.101123595505618,Orthodox,.0001240694789082
Australia,17800,2.3,85,Protstnt,80,74,100,1.38,7.3,16848,OECD,3216,4727,15,8,26.5561797752809,4.226548353841411,1.926784393611922,1.875,1.9,4.250420002308894,6,100,100,arid,1,Protstnt,.0000593542260209
Denmark,5200,120,85,Protstnt,79,73,99,.1,6.6,18277,OECD,3628,1411,12,12,27.13461538461538,4.261904911837202,1.935105886430885,1,1.7,3.716003343634799,61,,,temperate,,Protstnt,.0000547135744378
Finland,5100,39,60,Protstnt,80,72,100,.3,5.3,15877,OECD,3253,158,13,10,3.098039215686275,4.200768444783171,1.253768580419953,1.3,1.8,3.707570176097936,8,,,arctic / temp,,Protstnt,.0000629841909681
Germany,81200,227,85,Protstnt,79,73,99,.36,6.5,17539,OECD,3443,11179,11,11,13.76724137931035,4.244004828091454,1.689543529260314,1,1.47,4.909556029241175,34,,,temperate,,Protstnt,.0000570157933748
Iceland,263,2.5,91,Protstnt,81,76,100,1.1,4,17241,OECD,,31,16,7,10.33333333333333,4.23656245185336,1.595321021149102,2.285714285714286,2.11,2.419955748489758,1,,,temperate,,Protstnt,.0000580012760281
New Zealand,3524,13,84,Protstnt,80,73,99,.57,8.9,14381,OECD,3362,431,16,8,12.23041997729852,4.157789086282049,1.650016450408201,2,2.03,3.54703589974001,2,,,temperate,,Protstnt,.0000695361935888
